Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
CSA Women's Provincial League 2012/13,12/13,List A,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,West/East,10,0,9,0,0,2,-5.195
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Knights,KNIG,D1,4,SEMI_FINALIST,4,0,0,1,Group C,3,3,0,0,0,14,1.823
CSA Women's Provincial League 2012/13,12/13,List A,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Central,8,5,2,0,1,26,0.212
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Group D,5,0,3,0,0,4,-3.567
CSA Women's Provincial League 2012/13,12/13,List A,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Highveld,8,2,6,0,0,8,-3.401
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Lions,LION,D1,2,RUNNER_UP,2,0,1,1,Group D,5,4,1,0,0,20,3.791
CSA Women's Provincial League 2012/13,12/13,List A,Lions,LION,D1,2,RUNNER_UP,2,0,1,1,Highveld,8,7,1,0,0,34,2.026
CSA Women's Provincial League 2012/13,12/13,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Highveld,8,0,8,0,0,0,-3.166
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,Group D,5,0,4,0,0,2,-4.698
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Titans,TITA,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group D,5,4,1,0,0,18,1.09
CSA Women's Provincial League 2012/13,12/13,List A,Titans,TITA,D1,,SEMI_FINALIST,2,0,0,2,Highveld,8,6,2,0,0,30,2.448
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group C,3,0,3,0,0,0,-3.212
CSA Women's Provincial League 2012/13,12/13,List A,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Central,8,0,7,0,0,2,-2.175
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group B,2,1,1,0,0,5,3.361
CSA Women's Provincial League 2012/13,12/13,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,West/East,10,7,2,0,1,35,1.455
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Western Province,WEST,D1,1,CHAMPION,1,1,0,1,Group A,2,2,0,0,0,10,1
CSA Women's Provincial League 2012/13,12/13,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,1,West/East,10,8,2,0,0,39,2.201
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group A,2,0,2,0,0,0,-2.675
